// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A08
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
30829,2,0,-55.0000,8.830786,-0.471057,4.326206,-0.038987,-0.000731,0.032068,0.013172,0.021178,-0.018015,-0.448355,-0.034184,-0.917136,0.088312,-0.004721,0.043252,1.000000,0.000066,0.000106,-0.000090,0.999913,-0.010372,-0.007922,-0.001852,-1.186958,-0.909948,-0.202792,0.999868,-0.003539,0.015881,0.003868,0.999778,-0.020712,-0.015804,0.020771,0.999659
30830,2,0,-55.0000,8.846350,-0.484819,4.319267,-0.025155,-0.017186,0.043686,0.006045,0.018561,-0.021095,-0.456639,-0.035319,-0.921420,0.088467,-0.004859,0.043184,1.000000,0.000030,0.000093,-0.000105,0.999915,-0.010247,-0.007848,-0.001867,-1.172680,-0.901462,-0.204772,0.999870,-0.003573,0.015733,0.003895,0.999783,-0.020463,-0.015656,0.020522,0.999667
30831,2,0,-55.0000,8.858536,-0.481056,4.341366,-0.038265,-0.014036,0.064097,0.006134,0.010753,-0.020632,-0.457867,-0.034533,-0.913132,0.088587,-0.004821,0.043409,1.000000,0.000031,0.000054,-0.000103,0.999916,-0.010126,-0.007809,-0.001888,-1.158817,-0.896962,-0.207279,0.999871,-0.003617,0.015654,0.003934,0.999788,-0.020221,-0.015578,0.020280,0.999673
30832,2,0,-55.0000,8.861520,-0.513040,4.343146,-0.039613,-0.048416,0.069051,0.009607,0.013705,-0.025106,-0.459942,-0.033032,-0.907152,0.088618,-0.005144,0.043425,1.000000,0.000048,0.000069,-0.000126,0.999918,-0.009977,-0.007760,-0.001895,-1.141737,-0.891374,-0.208337,0.999872,-0.003636,0.015557,0.003945,0.999794,-0.019923,-0.015481,0.019982,0.999680
30833,2,0,-56.0000,8.874078,-0.491786,4.334847,-0.024719,-0.030715,0.075713,0.012027,0.009701,-0.027453,-0.451095,-0.039158,-0.907807,0.088742,-0.004933,0.043344,1.000000,0.000060,0.000049,-0.000137,0.999920,-0.009814,-0.007735,-0.001899,-1.123003,-0.888457,-0.208879,0.999873,-0.003645,0.015506,0.003949,0.999800,-0.019596,-0.015431,0.019655,0.999688
30834,2,0,-56.0000,8.899325,-0.468632,4.347374,-0.022731,-0.009635,0.102788,0.016111,0.014494,-0.026978,-0.452715,-0.033946,-0.917114,0.088996,-0.004702,0.043467,1.000000,0.000081,0.000072,-0.000135,0.999922,-0.009642,-0.007683,-0.001881,-1.103301,-0.882429,-0.207115,0.999875,-0.003614,0.015401,0.003911,0.999807,-0.019253,-0.015328,0.019311,0.999696
30835,2,0,-56.0000,8.927792,-0.479500,4.361015,-0.021822,-0.022726,0.134817,0.020392,0.019091,-0.030301,-0.451000,-0.034537,-0.917437,0.089281,-0.004813,0.043601,1.000000,0.000102,0.000095,-0.000152,0.999925,-0.009443,-0.007607,-0.001864,-1.080565,-0.873634,-0.205373,0.999877,-0.003584,0.015247,0.003871,0.999815,-0.018856,-0.015177,0.018913,0.999706
30836,2,0,-56.0000,8.897777,-0.461535,4.351301,-0.023155,-0.010112,0.102787,0.029873,0.031044,-0.029523,-0.453824,-0.042584,-0.913267,0.088984,-0.004635,0.043499,1.000000,0.000149,0.000155,-0.000148,0.999928,-0.009224,-0.007472,-0.001794,-1.055572,-0.858119,-0.197667,0.999882,-0.003450,0.014976,0.003725,0.999823,-0.018420,-0.014910,0.018474,0.999718
30837,2,0,-56.0000,8.896602,-0.457503,4.354128,-0.023342,-0.010372,0.102786,0.038906,0.028953,-0.027467,-0.450448,-0.040814,-0.913337,0.088972,-0.004596,0.043528,1.000000,0.000195,0.000145,-0.000137,0.999931,-0.008993,-0.007345,-0.001693,-1.029246,-0.843375,-0.186497,0.999886,-0.003255,0.014719,0.003519,0.999832,-0.017961,-0.014658,0.018011,0.999730
30838,2,0,-56.0000,8.913472,-0.397938,4.427662,-0.075401,0.049926,0.147451,0.035761,0.038939,-0.030551,-0.455117,-0.034578,-0.909326,0.089143,-0.004001,0.044259,1.000000,0.000179,0.000195,-0.000153,0.999935,-0.008755,-0.007171,-0.001601,-1.001988,-0.823342,-0.176239,0.999892,-0.003076,0.014370,0.003327,0.999842,-0.017485,-0.014313,0.017531,0.999744
30839,2,0,-56.0000,8.895395,-0.378144,4.440089,-0.089684,0.065910,0.135832,0.029721,0.042296,-0.024722,-0.448711,-0.036820,-0.915860,0.088963,-0.003799,0.044382,1.000000,0.000149,0.000211,-0.000124,0.999938,-0.008554,-0.006979,-0.001532,-0.979048,-0.801157,-0.168715,0.999898,-0.002944,0.013982,0.003183,0.999849,-0.017085,-0.013930,0.017128,0.999756
30840,2,0,-56.0000,8.926670,-0.389547,4.396391,-0.033658,0.047762,0.145326,0.029410,0.041384,-0.027201,-0.459435,-0.037154,-0.913706,0.089275,-0.003914,0.043945,1.000000,0.000147,0.000207,-0.000136,0.999941,-0.008343,-0.006792,-0.001461,-0.955027,-0.779658,-0.160884,0.999903,-0.002808,0.013607,0.003034,0.999857,-0.016666,-0.013558,0.016706,0.999769
30841,2,0,-56.0000,8.835762,-0.431511,4.315129,0.000575,-0.005217,0.029934,0.029570,0.044612,-0.025716,-0.456937,-0.034801,-0.920995,0.088367,-0.004333,0.043131,1.000000,0.000148,0.000223,-0.000129,0.999944,-0.008139,-0.006588,-0.001390,-0.931629,-0.756219,-0.153112,0.999909,-0.002672,0.013198,0.002887,0.999864,-0.016258,-0.013153,0.016294,0.999781
30842,2,0,-56.0000,8.766941,-0.418471,4.244663,0.038137,-0.002736,-0.063325,0.052114,0.044849,-0.028704,-0.454575,-0.039396,-0.923288,0.087678,-0.004208,0.042426,1.000000,0.000261,0.000224,-0.000144,0.999948,-0.007870,-0.006384,-0.001221,-0.900987,-0.732620,-0.134135,0.999916,-0.002341,0.012786,0.002542,0.999873,-0.015723,-0.012748,0.015754,0.999795
30843,2,0,-56.0000,8.736391,-0.399394,4.236038,0.036832,0.009898,-0.095352,0.063678,0.030956,-0.028495,-0.453942,-0.042614,-0.914576,0.087370,-0.004020,0.042346,1.000000,0.000318,0.000155,-0.000142,0.999951,-0.007581,-0.006247,-0.000999,-0.868016,-0.716758,-0.109003,0.999920,-0.001902,0.012509,0.002092,0.999883,-0.015148,-0.012479,0.015173,0.999807
30844,2,0,-56.0000,8.827270,-0.416034,4.385258,-0.055260,-0.000828,0.052463,0.062189,0.025383,-0.029820,-0.458493,-0.039342,-0.920206,0.088278,-0.004187,0.043840,1.000000,0.000311,0.000127,-0.000149,0.999954,-0.007290,-0.006140,-0.000784,-0.834856,-0.704274,-0.084666,0.999923,-0.001478,0.012292,0.001657,0.999892,-0.014569,-0.012269,0.014589,0.999818
