// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A09
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
03987,2,0,-53.0000,9.585799,0.747439,-1.986261,-0.020467,-0.020735,0.005184,-0.005477,0.014079,-0.001352,0.174282,0.450484,-1.239424,0.095857,0.007473,-0.019870,1.000000,-0.000027,0.000070,-0.000007,-0.999878,0.001795,-0.002227,0.015381,-0.209642,0.252009,-1.763117,0.999517,-0.030767,-0.004398,0.030751,0.999520,-0.003659,0.004509,0.003522,0.999984
03988,2,0,-53.0000,9.602473,0.774241,-1.970109,-0.012556,-0.051123,0.020191,-0.009799,0.011859,-0.002029,0.169220,0.446810,-1.249574,0.096024,0.007740,-0.019707,1.000000,-0.000049,0.000059,-0.000010,-0.999877,0.001820,-0.002178,0.015433,-0.212344,0.246373,-1.769024,0.999514,-0.030870,-0.004300,0.030854,0.999517,-0.003706,0.004412,0.003572,0.999984
03989,2,0,-53.0000,9.626703,0.721089,-1.980019,0.001149,0.002643,0.041948,-0.011043,0.013144,-0.003393,0.165424,0.444386,-1.247261,0.096266,0.007208,-0.019807,1.000000,-0.000055,0.000066,-0.000017,-0.999876,0.001856,-0.002128,0.015495,-0.216442,0.240551,-1.776075,0.999511,-0.030993,-0.004198,0.030977,0.999513,-0.003778,0.004313,0.003646,0.999984
03990,2,0,-54.0000,9.637208,0.732556,-2.009674,-0.028797,0.003024,0.059008,0.001021,0.015231,-0.002802,0.164502,0.447118,-1.238824,0.096371,0.007324,-0.020104,1.000000,0.000005,0.000076,-0.000014,-0.999876,0.001878,-0.002065,0.015491,-0.218844,0.233257,-1.775694,0.999512,-0.030986,-0.004071,0.030971,0.999513,-0.003820,0.004187,0.003692,0.999984
03991,2,0,-53.0000,9.613437,0.786505,-1.997214,-0.042326,-0.051263,0.037247,0.006624,0.011809,-0.005699,0.168427,0.449773,-1.240914,0.096133,0.007863,-0.019978,1.000000,0.000033,0.000059,-0.000028,-0.999876,0.001903,-0.002023,0.015491,-0.221633,0.228430,-1.775641,0.999512,-0.030986,-0.003987,0.030970,0.999513,-0.003868,0.004105,0.003743,0.999985
03992,2,0,-54.0000,9.600361,0.768107,-1.987718,-0.031180,-0.036861,0.021214,-0.008375,0.017180,-0.001876,0.169324,0.444724,-1.249346,0.096002,0.007679,-0.019886,1.000000,-0.000042,0.000086,-0.000009,-0.999876,0.001934,-0.001949,0.015534,-0.225051,0.219887,-1.780546,0.999510,-0.031071,-0.003838,0.031056,0.999510,-0.003928,0.003958,0.003807,0.999985
03993,2,0,-53.0000,9.587662,0.785460,-2.041794,-0.090745,-0.033012,0.020919,-0.009619,0.018465,-0.003240,0.163520,0.447819,-1.240860,0.095875,0.007852,-0.020427,1.000000,-0.000048,0.000092,-0.000016,-0.999875,0.001976,-0.001873,0.015593,-0.229785,0.211090,-1.787382,0.999507,-0.031190,-0.003684,0.031176,0.999506,-0.004010,0.003807,0.003894,0.999985
03994,2,0,-53.0000,9.594131,0.801397,-1.994147,-0.052831,-0.064090,0.018860,-0.014471,0.015499,-0.002628,0.174751,0.444291,-1.244268,0.095940,0.008011,-0.019949,1.000000,-0.000072,0.000077,-0.000013,-0.999874,0.002014,-0.001808,0.015666,-0.234037,0.203584,-1.795686,0.999503,-0.031335,-0.003553,0.031321,0.999501,-0.004085,0.003679,0.003971,0.999985
03995,2,0,-54.0000,9.587940,0.750889,-1.974593,-0.019836,-0.022991,0.005180,-0.012291,0.014431,-0.004757,0.164246,0.453037,-1.251004,0.095878,0.007505,-0.019753,1.000000,-0.000061,0.000072,-0.000024,-0.999873,0.002060,-0.001754,0.015733,-0.239148,0.197288,-1.803383,0.999499,-0.031470,-0.003443,0.031455,0.999496,-0.004174,0.003573,0.004063,0.999985
03996,2,0,-54.0000,9.588215,0.751677,-1.972956,-0.019774,-0.023291,0.005179,-0.012885,0.017739,-0.006500,0.170070,0.446889,-1.244513,0.095881,0.007512,-0.019739,1.000000,-0.000064,0.000089,-0.000032,-0.999872,0.002117,-0.001686,0.015793,-0.245662,0.189298,-1.810268,0.999495,-0.031590,-0.003304,0.031575,0.999492,-0.004288,0.003438,0.004181,0.999985
