// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 00B46A05
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
08622,5.712041,0.704168,7.945395,-0.001753,0.033233,-0.001905,0.001209,0.003352,-0.000489,0.673481,-0.789463,-1.465604,0.057122,0.007041,0.079453,1.000000,0.000006,0.000017,-0.000002,-1.000000,-0.000316,-0.000559,0.000692,0.036112,0.064060,-0.079281,0.999998,-0.001384,-0.001118,0.001384,0.999999,0.000630,0.001117,-0.000632,0.999999
08623,5.728561,0.675030,7.938277,0.017144,0.004740,-0.000042,0.002816,0.006345,0.004114,0.679799,-0.780419,-1.464358,0.057288,0.006750,0.079381,1.000000,0.000014,0.000032,0.000021,-1.000000,-0.000313,-0.000563,0.000677,0.035817,0.064579,-0.077568,0.999998,-0.001354,-0.001127,0.001355,0.999999,0.000625,0.001126,-0.000627,0.999999
08624,5.715690,0.683406,7.957815,-0.005141,0.011435,0.008861,0.002296,0.003951,0.001280,0.680629,-0.782488,-1.462165,0.057158,0.006834,0.079577,1.000000,0.000011,0.000020,0.000006,-1.000000,-0.000319,-0.000554,0.000662,0.036478,0.063468,-0.075840,0.999999,-0.001324,-0.001108,0.001324,0.999999,0.000637,0.001107,-0.000638,0.999999
08625,5.727803,0.674857,7.938839,0.016080,0.004729,-0.000040,-0.002533,0.005943,0.006118,0.675537,-0.780096,-1.461353,0.057280,0.006751,0.079387,1.000000,-0.000013,0.000030,0.000031,-1.000000,-0.000289,-0.000555,0.000655,0.033037,0.063663,-0.075001,0.999999,-0.001309,-0.001111,0.001310,0.999999,0.000577,0.001110,-0.000578,0.999999
08626,5.714879,0.682853,7.958444,-0.006163,0.011450,0.008860,0.001312,0.006025,0.003807,0.675946,-0.783039,-1.450202,0.057151,0.006829,0.079583,1.000000,0.000007,0.000030,0.000019,-1.000000,-0.000281,-0.000557,0.000643,0.032196,0.063858,-0.073662,0.999999,-0.001286,-0.001115,0.001286,0.999999,0.000562,0.001114,-0.000563,0.999999
08627,5.735069,0.686842,7.908331,0.039106,0.019814,-0.019703,-0.001549,0.003869,0.003591,0.680152,-0.781861,-1.457315,0.057352,0.006870,0.079082,1.000000,-0.000008,0.000019,0.000018,-1.000000,-0.000263,-0.000550,0.000644,0.030112,0.062990,-0.073748,0.999999,-0.001287,-0.001099,0.001288,0.999999,0.000526,0.001099,-0.000527,0.999999
08628,5.747150,0.683413,7.948932,0.025498,0.013389,0.019987,-0.002533,0.005943,0.006118,0.677293,-0.780158,-1.459193,0.057474,0.006837,0.079488,1.000000,-0.000013,0.000030,0.000031,-1.000000,-0.000238,-0.000553,0.000630,0.027222,0.063386,-0.072197,0.999999,-0.001260,-0.001106,0.001261,0.999999,0.000475,0.001106,-0.000477,0.999999
08629,5.693214,0.672151,7.950201,-0.018524,0.002661,-0.011166,-0.002114,0.005665,0.004656,0.678190,-0.781151,-1.458350,0.056934,0.006724,0.079500,1.000000,-0.000011,0.000028,0.000023,-1.000000,-0.000214,-0.000554,0.000628,0.024471,0.063492,-0.071908,0.999999,-0.001255,-0.001108,0.001255,0.999999,0.000427,0.001108,-0.000428,0.999999
08630,5.713297,0.681317,7.959712,-0.008129,0.011374,0.008859,-0.000610,0.005984,0.004963,0.677629,-0.782023,-1.456731,0.057135,0.006815,0.079595,1.000000,-0.000003,0.000030,0.000025,-1.000000,-0.000196,-0.000556,0.000616,0.022463,0.063714,-0.070547,0.999999,-0.001231,-0.001112,0.001232,0.999999,0.000392,0.001112,-0.000393,0.999999
08631,5.720946,0.693582,7.928912,0.015426,0.026454,-0.010801,-0.000192,0.005706,0.003500,0.679486,-0.784822,-1.453876,0.057212,0.006937,0.079287,1.000000,-0.000001,0.000029,0.000018,-1.000000,-0.000184,-0.000558,0.000612,0.020990,0.063899,-0.070149,0.999999,-0.001224,-0.001115,0.001225,0.999999,0.000366,0.001115,-0.000368,0.999999
08632,5.708741,0.642255,7.943860,-0.000603,-0.025938,-0.009298,0.002002,0.006984,0.000485,0.669676,-0.773771,-1.464910,0.057090,0.006422,0.079437,1.000000,0.000010,0.000035,0.000002,-1.000000,-0.000193,-0.000568,0.000608,0.022088,0.065148,-0.069710,0.999999,-0.001217,-0.001137,0.001217,0.999999,0.000385,0.001137,-0.000387,0.999999
08633,5.728862,0.651682,7.953325,0.009798,-0.017200,0.010730,0.000771,0.003551,0.007528,0.675529,-0.779568,-1.465527,0.057290,0.006519,0.079532,1.000000,0.000004,0.000018,0.000038,-1.000000,-0.000173,-0.000558,0.000587,0.019784,0.063910,-0.067206,0.999999,-0.001173,-0.001115,0.001173,0.999999,0.000345,0.001115,-0.000347,0.999999
08634,5.711794,0.680646,7.960848,-0.010222,0.011412,0.008857,-0.000565,0.001795,0.001064,0.685457,-0.779932,-1.463864,0.057119,0.006807,0.079608,1.000000,-0.000003,0.000009,0.000005,-1.000000,-0.000162,-0.000534,0.000579,0.018516,0.061189,-0.066313,0.999999,-0.001157,-0.001068,0.001158,0.999999,0.000323,0.001068,-0.000324,0.999999
08635,5.744567,0.681801,7.950937,0.021899,0.013430,0.019995,0.001878,0.004230,0.002743,0.668801,-0.771565,-1.451135,0.057447,0.006818,0.079508,1.000000,0.000009,0.000021,0.000014,-1.000000,-0.000160,-0.000528,0.000573,0.018300,0.060567,-0.065631,0.999999,-0.001145,-0.001057,0.001146,0.999999,0.000319,0.001057,-0.000321,0.999999
08636,5.723742,0.672139,7.941998,0.010494,0.004746,-0.000033,-0.000044,0.004189,0.003898,0.675566,-0.776975,-1.456788,0.057239,0.006723,0.079419,1.000000,-0.000000,0.000021,0.000019,-1.000000,-0.000145,-0.000522,0.000571,0.016613,0.059804,-0.065452,0.999999,-0.001142,-0.001044,0.001143,0.999999,0.000290,0.001043,-0.000291,0.999999
08637,5.690312,0.670882,7.952386,-0.022621,0.002752,-0.011175,0.002002,0.006984,0.000485,0.677118,-0.780644,-1.459369,0.056906,0.006708,0.079522,1.000000,0.000010,0.000035,0.000002,-1.000000,-0.000150,-0.000531,0.000573,0.017129,0.060862,-0.065670,0.999999,-0.001146,-0.001062,0.001146,0.999999,0.000299,0.001062,-0.000300,0.999999
08638,5.743392,0.681865,7.951781,0.020371,0.013487,0.019999,0.004219,0.003992,0.000126,0.676291,-0.781253,-1.458216,0.057436,0.006817,0.079517,1.000000,0.000021,0.000020,0.000001,-1.000000,-0.000165,-0.000524,0.000566,0.018925,0.060100,-0.064794,0.999999,-0.001131,-0.001049,0.001131,0.999999,0.000330,0.001049,-0.000331,0.999999
08639,5.722513,0.672436,7.942858,0.008979,0.004771,-0.000031,0.000227,0.005427,0.002038,0.679388,-0.783521,-1.465877,0.057227,0.006725,0.079427,1.000000,0.000001,0.000027,0.000010,-1.000000,-0.000159,-0.000525,0.000567,0.018141,0.060196,-0.064945,0.999999,-0.001134,-0.001051,0.001134,0.999999,0.000317,0.001050,-0.000318,0.999999
08640,5.713359,0.714062,7.919366,0.013138,0.048329,-0.021559,0.001460,0.004509,0.004205,0.682317,-0.782285,-1.460329,0.057135,0.007141,0.079192,1.000000,0.000007,0.000023,0.000021,-1.000000,-0.000152,-0.000519,0.000551,0.017399,0.059516,-0.063091,0.999999,-0.001101,-0.001039,0.001101,0.999999,0.000304,0.001038,-0.000305,0.999999
