// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 00B46A09
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
08622,9.589280,0.803590,-1.965736,0.036575,0.021916,0.008837,0.002601,0.001473,-0.005894,-0.891078,-0.193401,-1.218972,0.095893,0.008033,-0.019658,1.000000,0.000013,0.000007,-0.000029,0.999990,0.003620,-0.002710,-0.000522,0.414985,-0.310360,-0.060886,0.999985,-0.001063,0.005417,0.001023,0.999973,0.007243,-0.005424,-0.007237,0.999959
08623,9.573946,0.817389,-1.993655,0.003186,0.021464,0.000709,-0.002689,-0.000554,-0.005098,-0.891894,-0.200240,-1.213271,0.095740,0.008171,-0.019936,1.000000,-0.000013,-0.000003,-0.000025,0.999990,0.003606,-0.002689,-0.000544,0.413343,-0.307877,-0.063472,0.999985,-0.001108,0.005373,0.001069,0.999973,0.007214,-0.005381,-0.007208,0.999960
08624,9.607043,0.774867,-1.989093,0.031906,0.058774,0.028436,0.000663,0.011726,-0.010019,-0.891970,-0.203344,-1.207240,0.096070,0.007744,-0.019897,1.000000,0.000003,0.000059,-0.000050,0.999990,0.003542,-0.002711,-0.000490,0.406036,-0.310447,-0.057236,0.999985,-0.000999,0.005418,0.000961,0.999974,0.007086,-0.005425,-0.007081,0.999960
08625,9.583249,0.803214,-1.940713,0.057581,0.013964,-0.002149,-0.003661,0.007775,-0.007688,-0.892045,-0.207453,-1.213487,0.095832,0.008028,-0.019411,1.000000,-0.000018,0.000039,-0.000038,0.999990,0.003498,-0.002722,-0.000511,0.401006,-0.311678,-0.059637,0.999985,-0.001041,0.005440,0.001003,0.999975,0.006999,-0.005447,-0.006993,0.999961
08626,9.601105,0.774068,-1.963825,0.052668,0.050867,0.017452,0.003312,0.009538,-0.009889,-0.879388,-0.209374,-1.210897,0.096010,0.007736,-0.019643,1.000000,0.000017,0.000048,-0.000049,0.999990,0.003450,-0.002739,-0.000492,0.395485,-0.313632,-0.057448,0.999985,-0.001003,0.005474,0.000965,0.999976,0.006902,-0.005481,-0.006897,0.999961
08627,9.599480,0.829210,-1.957597,0.035004,-0.000896,0.019330,0.001309,0.008309,-0.008644,-0.888222,-0.205047,-1.212616,0.095994,0.008288,-0.019580,1.000000,0.000007,0.000042,-0.000043,0.999990,0.003406,-0.002750,-0.000487,0.390471,-0.314932,-0.056933,0.999984,-0.000994,0.005497,0.000956,0.999976,0.006815,-0.005503,-0.006809,0.999962
08628,9.601266,0.775789,-1.962358,0.053108,0.050418,0.017452,0.002354,0.005055,-0.010367,-0.887793,-0.203290,-1.211963,0.096013,0.007753,-0.019626,1.000000,0.000012,0.000025,-0.000052,0.999990,0.003365,-0.002738,-0.000493,0.385759,-0.313517,-0.057562,0.999985,-0.001005,0.005472,0.000968,0.999977,0.006733,-0.005479,-0.006727,0.999962
08629,9.609181,0.724860,-1.990873,0.050632,0.109263,0.026564,0.009774,0.003319,-0.009642,-0.884157,-0.203510,-1.211299,0.096092,0.007245,-0.019910,1.000000,0.000049,0.000017,-0.000048,0.999991,0.003336,-0.002724,-0.000449,0.382472,-0.312012,-0.052456,0.999985,-0.000916,0.005446,0.000879,0.999977,0.006675,-0.005452,-0.006670,0.999963
08630,9.601240,0.777332,-1.961876,0.053506,0.050022,0.017452,0.012423,0.001130,-0.009511,-0.886156,-0.202591,-1.211088,0.096013,0.007770,-0.019619,1.000000,0.000062,0.000006,-0.000048,0.999991,0.003316,-0.002698,-0.000386,0.380083,-0.309027,-0.045230,0.999985,-0.000789,0.005394,0.000754,0.999978,0.006634,-0.005399,-0.006629,0.999963
08631,9.574298,0.823734,-1.989349,0.004658,0.019929,0.000712,0.014226,0.002278,-0.009206,-0.880832,-0.202213,-1.210313,0.095743,0.008234,-0.019894,1.000000,0.000071,0.000011,-0.000046,0.999991,0.003296,-0.002681,-0.000321,0.377821,-0.307099,-0.037743,0.999985,-0.000659,0.005360,0.000623,0.999978,0.006594,-0.005364,-0.006591,0.999964
