// General information: 
//  MT Manager version: 2020.5.0 
//  XDA version: 2020.5.0 build 5678 rev 108182 built on 2021-02-04
// Device information: 
//  DeviceId: 00B46A0D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
08622,5.246020,-1.066323,8.255139,0.010549,0.020804,0.026243,0.005719,-0.002305,-0.004771,0.808201,-0.517478,-1.552540,0.052459,-0.010667,0.082552,1.000000,0.000029,-0.000012,-0.000024,1.000000,0.000182,0.000601,-0.000124,0.020795,0.068847,-0.014142,0.999999,-0.000247,-0.001202,0.000247,1.000000,0.000363,0.001202,-0.000363,0.999999
08623,5.209879,-1.085059,8.246086,-0.016706,0.000905,0.001478,0.010255,-0.002901,-0.001755,0.817430,-0.510669,-1.547495,0.052097,-0.010855,0.082461,1.000000,0.000051,-0.000015,-0.000009,1.000000,0.000195,0.000594,-0.000108,0.022331,0.068057,-0.012320,0.999999,-0.000215,-0.001188,0.000215,1.000000,0.000390,0.001188,-0.000390,0.999999
08624,5.223317,-1.071161,8.230243,0.003670,0.012559,-0.006202,0.002437,-0.004240,-0.001671,0.818805,-0.507153,-1.546013,0.052231,-0.010713,0.082303,1.000000,0.000012,-0.000021,-0.000008,1.000000,0.000180,0.000574,-0.000055,0.020668,0.065748,-0.006253,0.999999,-0.000109,-0.001148,0.000110,1.000000,0.000361,0.001147,-0.000361,0.999999
08625,5.240932,-1.098908,8.220958,0.021578,-0.016036,-0.001551,0.004977,0.002603,-0.006976,0.814571,-0.507815,-1.547996,0.052410,-0.010993,0.082209,1.000000,0.000025,0.000013,-0.000035,1.000000,0.000187,0.000591,-0.000078,0.021442,0.067693,-0.008900,0.999999,-0.000155,-0.001181,0.000156,1.000000,0.000374,0.001181,-0.000374,0.999999
08626,5.223487,-1.069712,8.230323,0.003964,0.013843,-0.006204,0.008380,-0.002158,-0.007124,0.815130,-0.506325,-1.536523,0.052234,-0.010702,0.082303,1.000000,0.000042,-0.000011,-0.000036,1.000000,0.000209,0.000582,-0.000075,0.023928,0.066658,-0.008577,0.999999,-0.000150,-0.001163,0.000150,1.000000,0.000418,0.001163,-0.000418,0.999999
08627,5.247007,-1.062703,8.254979,0.011221,0.023962,0.026235,0.004024,-0.002975,-0.000893,0.818002,-0.503897,-1.543825,0.052469,-0.010629,0.082550,1.000000,0.000020,-0.000015,-0.000004,1.000000,0.000194,0.000575,-0.000072,0.022178,0.065891,-0.008239,0.999999,-0.000144,-0.001150,0.000144,1.000000,0.000387,0.001150,-0.000387,0.999999
08628,5.241494,-1.096720,8.220892,0.022053,-0.014128,-0.001549,0.005719,-0.002307,-0.004769,0.817004,-0.503691,-1.540411,0.052414,-0.010971,0.082209,1.000000,0.000029,-0.000012,-0.000024,1.000000,0.000198,0.000570,-0.000079,0.022661,0.065281,-0.009067,0.999999,-0.000158,-0.001139,0.000159,1.000000,0.000396,0.001139,-0.000396,0.999999
08629,5.211053,-1.080963,8.245882,-0.015853,0.004677,0.001479,0.007306,-0.001043,-0.003992,0.817737,-0.506591,-1.543862,0.052110,-0.010814,0.082459,1.000000,0.000037,-0.000005,-0.000020,1.000000,0.000205,0.000571,-0.000082,0.023517,0.065378,-0.009338,0.999999,-0.000163,-0.001141,0.000163,1.000000,0.000410,0.001141,-0.000411,0.999999
08630,5.224372,-1.066914,8.230125,0.004661,0.016417,-0.006208,0.006685,-0.002828,-0.003247,0.817109,-0.506189,-1.542866,0.052242,-0.010673,0.082302,1.000000,0.000033,-0.000014,-0.000016,1.000000,0.000209,0.000563,-0.000081,0.023932,0.064561,-0.009265,0.999999,-0.000162,-0.001127,0.000162,1.000000,0.000418,0.001127,-0.000418,0.999999
08631,5.255072,-1.084293,8.278273,0.003999,0.005546,0.052465,0.002715,-0.000150,-0.004681,0.815682,-0.508339,-1.538771,0.052550,-0.010845,0.082783,1.000000,0.000014,-0.000001,-0.000023,1.000000,0.000199,0.000568,-0.000099,0.022806,0.065115,-0.011326,0.999999,-0.000198,-0.001136,0.000198,1.000000,0.000398,0.001136,-0.000398,0.999999
08632,5.227715,-1.048420,8.246983,-0.000318,0.037033,0.007676,0.009014,-0.006472,-0.000263,0.809765,-0.500106,-1.548155,0.052274,-0.010488,0.082471,1.000000,0.000045,-0.000032,-0.000001,1.000000,0.000205,0.000545,-0.000066,0.023524,0.062439,-0.007506,0.999999,-0.000131,-0.001090,0.000131,1.000000,0.000411,0.001090,-0.000411,0.999999
08633,5.248440,-1.058730,8.254578,0.012268,0.027803,0.026224,0.003734,-0.000970,-0.005485,0.814862,-0.505281,-1.549373,0.052484,-0.010590,0.082546,1.000000,0.000019,-0.000005,-0.000027,1.000000,0.000202,0.000545,-0.000084,0.023103,0.062467,-0.009590,0.999999,-0.000167,-0.001090,0.000168,1.000000,0.000403,0.001090,-0.000403,0.999999
